,probesets,sym,chrom
0,1000_at,MAPK3,16
1,1001_at,TIE1,1
2,1002_f_at,CYP2C19,10
3,1003_s_at,CXCR5,11
4,1004_at,CXCR5,11
5,1005_at,DUSP1,5
6,1006_at,MMP10,11
7,1007_s_at,DDR1,6
8,1008_f_at,EIF2AK2,2
9,1009_at,HINT1,5
10,100_g_at,RABGGTA,14
11,1010_at,MAPK11,22
12,1011_s_at,YWHAE,17
13,1012_at,KAT2B,3
14,1013_at,SMAD5,5
15,1014_at,POLG,15
16,1015_s_at,LIMK1,7
17,1016_s_at,IL13RA2,X
18,1017_at,MSH6,2
19,1018_at,WNT10B,12
20,1019_g_at,WNT10B,12
21,101_at,DYRK4,12
22,1020_s_at,CIB1,15
23,1021_at,IFNG,12
24,1022_f_at,IFNA14,9
25,1023_at,EPO,7
26,1024_at,CYP1A1,15
27,1025_g_at,CYP1A1,15
28,1026_s_at,COL11A2,6
29,1027_at,COL11A2,6
30,1028_at,TOP3A,17
31,1029_s_at,TXK,4
32,102_at,HIPK3,11
33,1030_s_at,TOP1,20
34,1031_at,SRPK1,6
35,1032_at,IL8RB,2
36,1033_g_at,IL8RB,2
37,1034_at,TIMP3,22
38,1035_g_at,TIMP3,22
39,1036_at,IL15,4
40,1037_at,BAGE,21
41,1038_s_at,IFNGR1,6
42,1039_s_at,HIF1A,14
43,103_at,THBS4,5
44,1040_s_at,ABI2,2
45,1041_at,EFNA5,5
46,1042_at,RARRES1,3
47,1043_s_at,RAD52,12
48,1044_s_at,E2F5,8
49,1045_s_at,RELA,11
50,1046_at,IFIT5,10
51,1047_s_at,,
52,1048_at,RXRG,1
53,1049_g_at,RXRG,1
54,104_at,POU6F1,12
55,1050_at,MLANA,9
56,1051_g_at,MLANA,9
57,1052_s_at,CEBPD,8
58,1053_at,RFC2,7
59,1054_at,RFC4,3
60,1055_g_at,RFC4,3
61,1056_s_at,IL16,15
62,1057_at,CRABP2,1
63,1058_at,WASF3,13
64,1059_at,NTRK3,15
65,105_at,NR1I3,1
66,1060_g_at,NTRK3,15
67,1061_at,IL10RA,11
68,1062_g_at,IL10RA,11
69,1063_s_at,TYRO3,15
70,1064_at,TWF1,12
71,1065_at,FLT3,13
72,1066_at,IL12RB1,19
73,1067_at,FLT3LG,19
74,1068_g_at,FLT3LG,19
75,1069_at,PTGS2,1
76,106_at,RUNX3,1
77,1070_at,GTF2B,1
78,1071_at,GATA2,3
79,1072_g_at,GATA2,3
80,1073_at,TCEA1,8
81,1074_at,RAB1A,2
82,1075_f_at,IFNA16,9
83,1076_at,IL1A,2
84,1077_at,RAG1,11
85,1078_at,PRLR,5
86,1079_g_at,PRLR,5
87,107_at,RAB40AL,X
88,1080_s_at,CYP1A2,15
89,1081_at,ODC1,2
90,1082_at,PLCG1,20
91,1083_s_at,MUC1,1
92,1084_at,ABL2,1
93,1085_s_at,PLCG2,16
94,1086_at,CSF2RB,22
95,1087_at,EPOR,19
96,1088_at,BDNF,11
97,1089_i_at,,
98,108_g_at,,
99,1090_f_at,,
100,1091_at,PRKAR1B,7
101,1092_at,EDN2,1
102,1093_at,PPP2R1B,11
103,1094_g_at,PPP2R1B,11
104,1095_s_at,HGF,7
105,1096_g_at,CD19,16
106,1097_s_at,CCR7,17
107,1098_at,THPO,3
108,1099_s_at,,
109,109_at,RABEPK,9
110,1100_at,IRAK1,X
111,1101_at,APBB1,11
112,1102_s_at,NR3C1,5
113,1103_at,ANG,14
114,1104_s_at,,
115,1105_s_at,IL23A,12
116,1106_s_at,,
117,1107_s_at,ISG15,1
118,1108_s_at,EPHA1,7
119,1109_s_at,PDGFA,7
120,110_at,CSPG4,15
121,1110_at,,
122,1111_at,NCAM1,11
123,1112_g_at,NCAM1,11
124,1113_at,BMP2,20
125,1114_at,BMP4,14
126,1115_at,PF4,4
127,1116_at,,
128,1117_at,CDA,1
129,1118_at,PTGER4,5
130,1119_at,RPA2,1
131,111_at,RABGGTA,14
132,1120_at,GSTM3,1
133,1121_g_at,GSTM3,1
134,1122_f_at,,
135,1123_at,GHRHR,7
136,1124_at,MLL,11
137,1125_s_at,CD44,11
138,1126_s_at,CD44,11
139,1127_at,RPS6KA1,1
140,1128_s_at,CCR1,3
141,1129_at,GBX1,7
142,112_g_at,TAF1,X
143,1130_at,MAP2K1,15
144,1131_at,MAP2K2,19
145,1132_s_at,RARG,12
146,1133_at,EN2,7
147,1134_at,TNK2,3
148,1135_at,GRK5,10
149,1136_at,DTYMK,2
150,1137_at,SLC20A2,8
151,1138_at,SLC20A1,2
152,1139_at,GNA13,17
153,113_i_at,MAPT,17
154,1140_at,ITGAE,17
